Client Name,ProgramID,Program Name,Program Status,,is Anonymous Match,Program Created At,# Notes by programs,# Users by Program,# Users who requested match by program,# Users who were requested,# Requests by program,# Partnerships Complete,# Partnerships In Progress,# Partnerships Not Started,# Partnerships by Status,# Notes Completed by Program
Brambles,15,European Mentoring Programme 2022,ACTIVE,Yes,1,2021-12-15 8:24:24,648,,,,,,,,,
Brambles,13,IMETA MentorConnect,ACTIVE,Yes,1,2021-09-23 14:01:11,644,,,,,,,,,
Brambles,16,APAC Mentor Connect Pilot Program 2022,ACTIVE,Yes,1,2021-12-15 21:48:58,357,,,,,,,,,
Brambles,12,European Reverse Mentoring,ACTIVE,No,0,2021-09-23 11:11:23,38,,,,,,,,,
Brambles,1,NA Inclusion & Diversity Program 2022,ACTIVE,Yes,1,2021-08-30 13:39:05,1,,,,,,,,,
Brambles,19,EMPOWER 2022,ACTIVE,No,0,2022-03-09 1:42:17,0,,,,,,,,,
Brambles,22,European Reverse Mentoring Programme 2022,ACTIVE,No,0,2022-08-05 13:15:50,0,,,,,,,,,
Brambles,18,FinanceConnect 2022,ACTIVE,Yes,1,2022-02-18 15:26:19,0,,,,,,,,,
Brambles,14,Supply Chain Mentorship Program,ACTIVE,Yes,1,2021-12-07 14:12:29,0,,,,,,,,,
Brambles,17,TEST AM,INACTIVE,No,0,2022-01-13 11:46:51,0,,,,,,,,,
Brambles,11,APAC Demo,ENROLL,No,0,2020-12-08 15:44:36,,1,0,0,0,,,,,
Brambles,16,APAC Mentor Connect Pilot Program 2022,ACTIVE,Yes,1,2021-12-15 21:48:58,,53,26,25,56,,,,,
Brambles,19,EMPOWER 2022,ACTIVE,No,0,2022-03-09 1:42:17,,40,0,0,0,,,,,
Brambles,15,European Mentoring Programme 2022,ACTIVE,Yes,1,2021-12-15 8:24:24,,270,124,69,208,,,,,
Brambles,12,European Reverse Mentoring,ACTIVE,No,0,2021-09-23 11:11:23,,61,0,0,0,,,,,
Brambles,22,European Reverse Mentoring Programme 2022,ACTIVE,No,0,2022-08-05 13:15:50,,2,0,0,0,,,,,
Brambles,18,FinanceConnect 2022,ACTIVE,Yes,1,2022-02-18 15:26:19,,33,0,0,0,,,,,
Brambles,20,IMETA Mentee Circle,INACTIVE,No,0,2022-07-26 17:16:03,,3,0,0,0,,,,,
Brambles,13,IMETA MentorConnect,ACTIVE,Yes,1,2021-09-23 14:01:11,,108,45,44,140,,,,,
Brambles,1,NA Inclusion & Diversity Program 2022,ACTIVE,Yes,1,2021-08-30 13:39:05,,286,5,4,7,,,,,
Brambles,14,Supply Chain Mentorship Program,ACTIVE,Yes,1,2021-12-07 14:12:29,,25,6,4,6,,,,,
Brambles,17,TEST AM,INACTIVE,No,0,2022-01-13 11:46:51,,2,0,0,0,,,,,
Brambles,16,APAC Mentor Connect Pilot Program 2022,ACTIVE,Yes,1,2021-12-15 21:48:58,,,,,,0,25,0,25,
Brambles,19,EMPOWER 2022,ACTIVE,No,0,2022-03-09 1:42:17,,,,,,0,0,20,20,
Brambles,15,European Mentoring Programme 2022,ACTIVE,Yes,1,2021-12-15 8:24:24,,,,,,7,0,0,7,
Brambles,15,European Mentoring Programme 2022,ACTIVE,Yes,1,2021-12-15 8:24:24,,,,,,0,82,0,82,
Brambles,15,European Mentoring Programme 2022,ACTIVE,Yes,1,2021-12-15 8:24:24,,,,,,0,0,86,86,
Brambles,12,European Reverse Mentoring,ACTIVE,No,0,2021-09-23 11:11:23,,,,,,0,0,19,19,
Brambles,12,European Reverse Mentoring,ACTIVE,No,0,2021-09-23 11:11:23,,,,,,0,11,0,11,
Brambles,22,European Reverse Mentoring Programme 2022,ACTIVE,No,0,2022-08-05 13:15:50,,,,,,0,0,1,1,
Brambles,18,FinanceConnect 2022,ACTIVE,Yes,1,2022-02-18 15:26:19,,,,,,0,0,14,14,
Brambles,13,IMETA MentorConnect,ACTIVE,Yes,1,2021-09-23 14:01:11,,,,,,0,0,15,15,
Brambles,13,IMETA MentorConnect,ACTIVE,Yes,1,2021-09-23 14:01:11,,,,,,0,42,0,42,
Brambles,13,IMETA MentorConnect,ACTIVE,Yes,1,2021-09-23 14:01:11,,,,,,3,0,0,3,
Brambles,1,NA Inclusion & Diversity Program 2022,ACTIVE,Yes,1,2021-08-30 13:39:05,,,,,,0,0,98,98,
Brambles,1,NA Inclusion & Diversity Program 2022,ACTIVE,Yes,1,2021-08-30 13:39:05,,,,,,1,0,0,1,
Brambles,1,NA Inclusion & Diversity Program 2022,ACTIVE,Yes,1,2021-08-30 13:39:05,,,,,,0,1,0,1,
Brambles,14,Supply Chain Mentorship Program,ACTIVE,Yes,1,2021-12-07 14:12:29,,,,,,0,0,5,5,
Brambles,17,TEST AM,INACTIVE,No,0,2022-01-13 11:46:51,,,,,,0,0,1,1,
Brambles,16,APAC Mentor Connect Pilot Program 2022,ACTIVE,Yes,1,2021-12-15 21:48:58,,,,,,,,,,78
Brambles,15,European Mentoring Programme 2022,ACTIVE,Yes,1,2021-12-15 8:24:24,,,,,,,,,,138
Brambles,12,European Reverse Mentoring,ACTIVE,No,0,2021-09-23 11:11:23,,,,,,,,,,21
Brambles,13,IMETA MentorConnect,ACTIVE,Yes,1,2021-09-23 14:01:11,,,,,,,,,,297
Brambles,1,NA Inclusion & Diversity Program 2022,ACTIVE,Yes,1,2021-08-30 13:39:05,,,,,,,,,,1
AAM,2,AAM's Global Mentor Program,ACTIVE,No,0,2022-02-09 18:16:43,728,,,,,,,,,
AAM,1,EHEC Associates,ACTIVE,No,0,2022-01-11 1:52:10,16,,,,,,,,,
AAM,2,AAM's Global Mentor Program,ACTIVE,No,0,2022-02-09 18:16:43,,408,151,141,233,,,,,
AAM,1,EHEC Associates,ACTIVE,No,0,2022-01-11 1:52:10,,11,0,0,0,,,,,
AAM,2,AAM's Global Mentor Program,ACTIVE,No,0,2022-02-09 18:16:43,,,,,,0,0,34,34,
AAM,2,AAM's Global Mentor Program,ACTIVE,No,0,2022-02-09 18:16:43,,,,,,0,125,0,125,
AAM,2,AAM's Global Mentor Program,ACTIVE,No,0,2022-02-09 18:16:43,,,,,,7,0,0,7,
AAM,1,EHEC Associates,ACTIVE,No,0,2022-01-11 1:52:10,,,,,,0,4,0,4,
AAM,1,EHEC Associates,ACTIVE,No,0,2022-01-11 1:52:10,,,,,,0,0,1,1,
AAM,2,AAM's Global Mentor Program,ACTIVE,No,0,2022-02-09 18:16:43,,,,,,,,,,306
Teva,1,ACE North America Mentoring Program,ACTIVE,No,0,2021-08-19 19:18:40,117,,,,,,,,,
Teva,6,Emerging Sales Manager Program,ACTIVE,No,0,2022-06-29 22:42:56,2,,,,,,,,,
Teva,2,InterMentor Mentoring Program,ACTIVE,No,0,2021-08-31 15:38:21,56,,,,,,,,,
Teva,3,Match & Grow Mentoring Program,ACTIVE,No,0,2021-09-21 13:55:37,16,,,,,,,,,
Teva,5,Momentum Mentoring Program,ACTIVE,No,0,2021-12-20 15:20:08,411,,,,,,,,,
Teva,4,Teva Global Finance Mentoring Program,ACTIVE,No,0,2021-10-18 10:36:34,1,,,,,,,,,
Teva,1,ACE North America Mentoring Program,ACTIVE,No,0,2021-08-19 19:18:40,,239,107,96,181,,,,,
Teva,6,Emerging Sales Manager Program,ACTIVE,No,0,2022-06-29 22:42:56,,2,0,0,0,,,,,
Teva,2,InterMentor Mentoring Program,ACTIVE,No,0,2021-08-31 15:38:21,,45,19,20,27,,,,,
